Instructor,Course,Term,Enroll,Evals Made,Rcmd Class,Rcmnd Instr,Study Hours/week,avg Grade Expected,Average grade received
"Shafir, Gershon","
SOCI 188I - Israeli-Palestinian Conflict (A)
",WI18,23,10,"
70.0 %
","
60.0 %
",4.1,"
B+ (3.40)
","
B (3.12)
"
"McVey, Cristin M","
SOCI 188K - American Society (A)
",WI18,11,3,"
100.0 %
","
100.0 %
",3.83,"
B+ (3.67)
","
N/A
"
"Calderon-Zaks, Michael Aar","
SOCI 188M - Social Movements in Latin Amer (A)
",WI18,13,3,"
66.7 %
","
33.3 %
",6.5,"
B+ (3.33)
","
N/A
"
"Raudenbush, Danielle","
SOCI 2 - The Study of Society (A)
",WI18,174,97,"
95.7 %
","
93.5 %
",4.16,"
B+ (3.59)
","
B+ (3.51)
"
"Skrentny, John David","
SOCI 50 - Introduction to Law & Society (A)
",WI18,116,61,"
100.0 %
","
100.0 %
",3.52,"
B+ (3.56)
","
B+ (3.31)
"
"Lewis, Kevin Michael","
SOCI 70 - Gen Soc for Pre-Med Students (A)
",WI18,120,116,"
95.7 %
","
98.3 %
",4.11,"
B+ (3.66)
","
B+ (3.55)
"
"Evans, Ivan T","
SOCI 87 - Freshman Seminar (A)
",WI18,10,10,"
100.0 %
","
100.0 %
",1.7,"
B+ (3.50)
","
N/A
"
"Vargas Consuelos, Carlos Ingram","
ENG 10 - Fundamentals/Engineering Appln (A)
",FA18,17,7,"
33.3 %
","
50.0 %
",1.5,"
B+ (3.50)
","
N/A
"
"Choi, Seongcheol","
ENG 10 - Fundamentals/Engineering Appln (B)
",FA18,20,15,"
53.3 %
","
53.3 %
",2.9,"
A- (3.80)
","
A- (3.72)
"
"Evdokimenko, Ekaterina","
ENG 10 - Fundamentals/Engineering Appln (C)
",FA18,22,14,"
57.1 %
","
71.4 %
",2.21,"
A- (3.92)
","
A- (3.94)
"
"Bratton, Maryann","
ENG 100D - Design for Development (A)
",FA18,59,44,"
93.2 %
","
88.6 %
",5.45,"
A- (3.91)
","
B+ (3.61)
"
"Bratton, Maryann","
ENG 100D - Design for Development (F)
",FA18,53,39,"
69.2 %
","
76.3 %
",5.85,"
B+ (3.47)
","
B+ (3.61)
"
"Nguyen, Truong Quang","
ENG 100L - Design for Development Lab (A)
",FA18,8,5,"
100.0 %
","
100.0 %
",5.7,"
A (4.00)
","
N/A
"
"Kleissl, Jan","
ENG 100L - Design for Development Lab (F)
",FA18,8,4,"
100.0 %
","
100.0 %
",4.5,"
A (4.00)
","
N/A
"
"Vargas Consuelos, Carlos Ingram","
ENG 10 - Fundamentals/Engineering Appln (A)
",S218,28,24,"
28.6 %
","
28.6 %
",3.28,"
A- (3.91)
","
A (4.00)
"
"Schamberg, Gabriel Eli","
ENG 10 - Fundamentals/Engineering Appln (B)
",S218,30,26,"
76.9 %
","
100.0 %
",2.5,"
A- (3.96)
","
A (4.00)
"
"Warchall, Julian Alexander","
ENG 10 - Fundamentals/Engineering Appln (C)
",S218,30,24,"
60.9 %
","
87.0 %
",2.17,"
A- (3.96)
","
A (4.00)
"
"Vargas Consuelos, Carlos Ingram","
ENG 10 - Fundamentals/Engineering Appln (D)
",S218,21,17,"
37.5 %
","
43.8 %
",3.13,"
A- (3.94)
","
A (4.00)
"
"Choi, Seongcheol","
ENG 10 - Fundamentals/Engineering Appln (A)
",SP18,24,8,"
100.0 %
","
100.0 %
",3.5,"
A (4.00)
","
A- (3.83)
"
"Reynante, Brandon Marcellino","
ENG 100D - Design for Development (B)
",SP18,52,48,"
77.1 %
","
95.7 %
",7.92,"
B+ (3.60)
","
B+ (3.59)
"
"Reynante, Brandon Marcellino","
ENG 100D - Design for Development (C)
",SP18,48,39,"
100.0 %
","
100.0 %
",7.09,"
B+ (3.58)
","
B+ (3.59)
"
"Reynante, Brandon Marcellino","
ENG 100D - Design for Development (D)
",SP18,32,30,"
80.0 %
","
93.3 %
",8.37,"
B+ (3.64)
","
B+ (3.59)
"
"Kleissl, Jan","
ENG 100L - Design for Development Lab (C)
",SP18,11,3,"
66.7 %
","
33.3 %
",7.83,"
A (4.00)
","
N/A
"
"Goldberg, Charles G.","
ENG 100L - Design for Development Lab (D)
",SP18,12,4,"
100.0 %
","
100.0 %
",3.83,"
A (4.00)
","
N/A
"
"de Oliveira, Mauricio","
ENG 100L - Design for Development Lab (G)
",SP18,12,3,"
100.0 %
","
100.0 %
",3.83,"
A (4.00)
","
N/A
"
"Bratton, Maryann","
ENG 100L - Design for Development Lab (L)
",SP18,15,6,"
100.0 %
","
100.0 %
",5.5,"
A- (3.83)
","
N/A
"
"Larson, David Philip","
ENG 10 - Fundamentals/Engineering Appln (A)
",WI18,24,18,"
94.4 %
","
100.0 %
",2.17,"
A- (3.88)
","
A- (3.97)
"
"Choi, Seongcheol","
ENG 10 - Fundamentals/Engineering Appln (B)
",WI18,24,19,"
83.3 %
","
83.3 %
",2.72,"
A (4.00)
","
A (4.00)
"
"Williams, Ebonee P.","
ENG 100B - Engineering Leadership (A)
",WI18,15,6,"
100.0 %
","
100.0 %
",2.5,"
A (4.00)
","
N/A
"
"Reynante, Brandon Marcellino","
ENG 100D - Design for Development (B)
",WI18,46,45,"
82.2 %
","
97.8 %
",7.12,"
B+ (3.61)
","
B+ (3.61)
"
"Reynante, Brandon Marcellino","
ENG 100D - Design for Development (C)
",WI18,46,44,"
97.7 %
","
100.0 %
",6.83,"
B+ (3.60)
","
B+ (3.61)
"
"Reynante, Brandon Marcellino","
ENG 100D - Design for Development (D)
",WI18,44,43,"
93.0 %
","
100.0 %
",7.66,"
B+ (3.66)
","
B+ (3.61)
"
"Nguyen, Truong Quang","
ENG 100L - Design for Development Lab (F)
",WI18,16,6,"
100.0 %
","
100.0 %
",5.5,"
A (4.00)
","
N/A
"
"de Oliveira, Mauricio","
ENG 100L - Design for Development Lab (G)
",WI18,8,4,"
100.0 %
","
100.0 %
",5,"
A (4.00)
","
N/A
"
"Bratton, Maryann","
ENG 100L - Design for Development Lab (I)
",WI18,12,3,"
100.0 %
","
100.0 %
",5.17,"
A (4.00)
","
N/A
"
"Bratton, Maryann","
ENG 100L - Design for Development Lab (J)
",WI18,8,3,"
100.0 %
","
100.0 %
",4.5,"
B+ (3.67)
","
N/A
"
"Chilukuri, Lakshmi N","
SXTH 1 - First Year Experience (A)
",FA18,61,45,"
83.3 %
","
100.0 %
",0.92,"
A (4.00)
","
N/A
"
"Pomeroy, Robert S.","
SXTH 2 - Transfer Year Experience (A)
",FA18,42,23,"
95.5 %
","
95.5 %
",1.05,"
A (4.00)
","
N/A
"
"Walsh, Kim C.","
TDAC 1 - Introduction to Acting (A)
",FA18,20,12,"
100.0 %
","
77.8 %
",2.9,"
A- (3.78)
","
B+ (3.42)
"
"Walsh, Kim C.","
TDAC 1 - Introduction to Acting (B)
",FA18,18,13,"
100.0 %
","
100.0 %
",4.17,"
B+ (3.62)
","
N/A
"
"Walsh, Kim C.","
TDAC 1 - Introduction to Acting (C)
",FA18,20,13,"
100.0 %
","
100.0 %
",1.95,"
A- (3.91)
","
B+ (3.42)
"
"Walsh, Kim C.","
TDAC 1 - Introduction to Acting (D)
",FA18,20,15,"
100.0 %
","
100.0 %
",2.63,"
A (4.00)
","
B+ (3.42)
"
"Walsh, Kim C.","
TDAC 1 - Introduction to Acting (E)
",FA18,20,6,"
83.3 %
","
83.3 %
",3.5,"
A- (3.83)
","
B+ (3.42)
"
"Walsh, Kim C.","
TDAC 1 - Introduction to Acting (F)
",FA18,20,14,"
100.0 %
","
100.0 %
",2.68,"
A- (3.92)
","
B+ (3.42)
"
"Walsh, Kim C.","
TDAC 1 - Introduction to Acting (G)
",FA18,19,10,"
100.0 %
","
100.0 %
",1.1,"
A (4.00)
","
N/A
"
"Walsh, Kim C.","
TDAC 1 - Introduction to Acting (H)
",FA18,20,15,"
100.0 %
","
100.0 %
",1.97,"
A- (3.80)
","
B+ (3.42)
"
"Walsh, Kim C.","
TDAC 1 - Introduction to Acting (I)
",FA18,20,20,"
100.0 %
","
100.0 %
",2.3,"
A (4.00)
","
B+ (3.42)
"
"Walsh, Kim C.","
TDAC 1 - Introduction to Acting (J)
",FA18,20,20,"
100.0 %
","
100.0 %
",2.2,"
A- (3.95)
","
B+ (3.42)
"
"Walsh, Kim C.","
TDAC 1 - Introduction to Acting (K)
",FA18,20,14,"
100.0 %
","
100.0 %
",2.5,"
A (4.00)
","
B+ (3.42)
"
"Harting, Carla Kelso","
TDAC 101 - Acting I (A)
",FA18,20,16,"
93.3 %
","
100.0 %
",2.5,"
A- (3.87)
","
A- (3.81)
"
"Robichaux, Natalie Griffith","
TDAC 101 - Acting I (B)
",FA18,19,9,"
100.0 %
","
88.9 %
",3.39,"
A (4.00)
","
N/A
"
"Castro, Robert Jess","
TDAC 102 - Acting II (A)
",FA18,19,5,"
100.0 %
","
100.0 %
",9.3,"
A- (3.80)
","
N/A
"
"Barricelli, Marc Alexander","
TDAC 108 - Advanced Topics (A)
",FA18,15,3,"
100.0 %
","
100.0 %
",3.83,"
B+ (3.67)
","
N/A
"
"Robichaux, Natalie Griffith","
TDAC 115 - Movement for Actors (A)
",FA18,17,10,"
66.7 %
","
77.8 %
",2.5,"
A- (3.70)
","
N/A
"
"Guirguis, Mark C","
TDDE 1 - Intro/Design for the Theatre (A)
",FA18,88,42,"
71.8 %
","
100.0 %
",5.53,"
B+ (3.59)
","
B+ (3.53)
"
"Dolan, Judith A.","
TDDE 112 - Advanced Costume Design (A)
",FA18,10,5,"
100.0 %
","
100.0 %
",5,"
A (4.00)
","
N/A
"
"Guirguis, Mark C","
TDDE 131 - Spec Topics in Theatre Design (A)
",FA18,7,3,"
100.0 %
","
100.0 %
",4.5,"
A (4.00)
","
N/A
"
"Smith, Alison D","
TDDM 1 - Introduction to Dance Making (A)
",FA18,27,14,"
100.0 %
","
100.0 %
",3,"
A (4.00)
","
A- (3.94)
"
"Porter, Lisa","
TDDR 101 - Stage Management (A)
",FA18,30,16,"
86.7 %
","
100.0 %
",3.88,"
B (3.29)
","
A- (3.86)
"
"Castro, Robert Jess","
TDDR 111 - Directing - Acting Process (A)
",FA18,15,6,"
100.0 %
","
100.0 %
",8.5,"
B+ (3.67)
","
N/A
"
"Salovey, Todd","
TDGE 1 - Introduction to Theatre (A)
",FA18,119,48,"
97.8 %
","
97.7 %
",2.63,"
A- (3.79)
","
B+ (3.69)
"
"Teshome, Tezeru","
TDGE 11 - Great Performances on Film (A)
",FA18,184,86,"
85.5 %
","
79.0 %
",2.5,"
A- (3.75)
","
A- (3.74)
"
"Harting, Carla Kelso","
TDGE 25 - Public Speaking (A)
",FA18,12,8,"
83.3 %
","
66.7 %
",2.5,"
A- (3.80)
","
N/A
"
"Harting, Carla Kelso","
TDGE 25 - Public Speaking (B)
",FA18,18,9,"
85.7 %
","
85.7 %
",4.21,"
B+ (3.57)
","
N/A
"
"Harting, Carla Kelso","
TDGE 25 - Public Speaking (C)
",FA18,16,6,"
100.0 %
","
100.0 %
",3.83,"
A- (3.80)
","
N/A
"
"Harting, Carla Kelso","
TDGE 25 - Public Speaking (D)
",FA18,15,6,"
100.0 %
","
100.0 %
",2.5,"
B+ (3.50)
","
N/A
"
"Harting, Carla Kelso","
TDGE 25 - Public Speaking (E)
",FA18,19,13,"
91.7 %
","
100.0 %
",4.17,"
A- (3.73)
","
N/A
"
"Harting, Carla Kelso","
TDGE 25 - Public Speaking (F)
",FA18,16,11,"
100.0 %
","
90.9 %
",3.95,"
A- (3.73)
","
N/A
"
"Harting, Carla Kelso","
TDGE 25 - Public Speaking (G)
",FA18,18,12,"
100.0 %
","
100.0 %
",2.67,"
A (4.00)
","
N/A
"
"Salovey, Todd","
TDGE 5 - A Glimpse into Acting (A)
",FA18,39,15,"
100.0 %
","
92.9 %
",2.19,"
A- (3.77)
","
A- (3.75)
"
"Meyer, Ursula","
TDGE 87 - Freshman Seminar (B)
",FA18,10,6,"
83.3 %
","
100.0 %
",0.83,"
N/A
","
N/A
"
"Rincon, Patricia A.","
TDGE 87 - Freshman Seminar (C)
",FA18,15,6,"
100.0 %
","
100.0 %
",0.83,"
A (4.00)
","
N/A
"
"Rincon, Patricia A.","
TDGE 89 - Dance Movement Exploration (A)
",FA18,34,18,"
100.0 %
","
100.0 %
",0.74,"
A (4.00)
","
A- (3.95)
"
"Burelle, Julie Sara Veronique","
TDHT 10 - Introduction to Play Analysis (A)
",FA18,16,5,"
60.0 %
","
100.0 %
",3.3,"
B (3.00)
","
N/A
"
"Tregar, Kristen Lauren","
TDHT 101 - Topics: Lit & Theatre History (A)
",FA18,24,13,"
100.0 %
","
100.0 %
",8.81,"
B+ (3.54)
","
A- (3.83)
"
"Woods, Wind Dell","
TDHT 109 - African American Theatre (A)
",FA18,51,18,"
88.2 %
","
82.4 %
",4.5,"
B+ (3.50)
","
B+ (3.66)
"
"White, Bryan Curtiss","
TDHT 21 - Ancient and Medieval Theatre (A)
",FA18,61,31,"
83.9 %
","
100.0 %
",3.34,"
A- (3.74)
","
B+ (3.59)
"
"Caligagan, Maria T.","
TDMV 1 - Beginning Ballet (A)
",FA18,33,21,"
100.0 %
","
94.7 %
",1.55,"
A- (3.94)
","
A- (3.85)
"
"Smith, Alison D","
TDMV 110 - Intermediate Ballet (B)
",FA18,15,10,"
100.0 %
","
100.0 %
",1.9,"
A (4.00)
","
N/A
"
"Rincon, Patricia A.","
TDMV 120 - Intermediate Contemp Dance (A)
",FA18,16,4,"
75.0 %
","
75.0 %
",5.5,"
A (4.00)
","
N/A
"
"Wilson, Terry A.","
TDMV 120 - Intermediate Contemp Dance (B)
",FA18,21,11,"
100.0 %
","
100.0 %
",2.32,"
A- (3.91)
","
A- (3.74)
"
"Geiger, Eric","
TDMV 123 - Contact Improvisation (A)
",FA18,31,9,"
100.0 %
","
100.0 %
",0.5,"
A (4.00)
","
A- (3.97)
"
"Jun, Grace Shin Hae","
TDMV 138 - Beginning Hip Hop (A)
",FA18,39,14,"
100.0 %
","
100.0 %
",2.96,"
A (4.00)
","
A (4.00)
"
"Caligagan, Tony","
TDMV 142 - Latin Dance of the World (A)
",FA18,43,21,"
100.0 %
","
100.0 %
",3,"
A- (3.89)
","
A- (3.84)
"
"Valero, Oscar","
TDMV 142 - Latin Dance of the World (B)
",FA18,37,12,"
90.9 %
","
90.9 %
",2.5,"
A- (3.73)
","
A- (3.89)
"
"Foster-King, Sandra","
TDMV 143 - West African Dance (A)
",FA18,44,39,"
100.0 %
","
100.0 %
",2.04,"
A- (3.97)
","
A (4.00)
"
"Caligagan, Tony","
TDMV 146 - Intermediate Latin Dance (B)
",FA18,14,6,"
83.3 %
","
83.3 %
",3.17,"
A- (3.83)
","
N/A
"
"Jun, Grace Shin Hae","
TDMV 148 - Intermediate Hip Hop (A)
",FA18,23,9,"
100.0 %
","
100.0 %
",1.25,"
A- (3.88)
","
A- (3.94)
"
"Geiger, Eric","
TDMV 2 - Beginning Contemporary Dance (A)
",FA18,23,20,"
100.0 %
","
100.0 %
",1.1,"
A- (3.94)
","
A- (3.81)
"
"Sammartano, Tonnie","
TDMV 2 - Beginning Contemporary Dance (B)
",FA18,31,15,"
100.0 %
","
92.9 %
",2.07,"
A- (3.85)
","
A- (3.94)
"
"Snaith, Yolande","
TDMV 2 - Beginning Contemporary Dance (C)
",FA18,21,14,"
100.0 %
","
85.7 %
",1.07,"
A (4.00)
","
A- (3.95)
"
"Rincon, Patricia A.","
TDMV 2 - Beginning Contemporary Dance (D)
",FA18,29,13,"
100.0 %
","
100.0 %
",1.33,"
A (4.00)
","
B+ (3.69)
"
"Rincon, Alicia","
TDMV 3 - Beginning Jazz (A)
",FA18,28,14,"
91.7 %
","
91.7 %
",1.33,"
A- (3.82)
","
A (4.00)
"
"Arcidiacono, Kristin","
TDMV 3 - Beginning Jazz (B)
",FA18,23,5,"
100.0 %
","
100.0 %
",1.3,"
A- (3.80)
","
B+ (3.65)
"
"Guirguis, Mark C","
TDPR 6 - Theatre Practicum (A)
",FA18,30,17,"
69.2 %
","
100.0 %
",7.88,"
A (4.00)
","
A- (3.74)
"
"Padilla, Liliana Camille","
TDPW 1 - Introduction to Playwriting (A)
",FA18,14,7,"
100.0 %
","
83.3 %
",4.17,"
A (4.00)
","
N/A
"
"Padilla, Liliana Camille","
TDPW 1 - Introduction to Playwriting (D)
",FA18,13,5,"
100.0 %
","
100.0 %
",5.3,"
A (4.00)
","
N/A
"
"Padilla, Liliana Camille","
TDPW 1 - Introduction to Playwriting (E)
",FA18,14,7,"
100.0 %
","
100.0 %
",3.36,"
A- (3.86)
","
N/A
"
"Padilla, Liliana Camille","
TDPW 1 - Introduction to Playwriting (F)
",FA18,15,8,"
100.0 %
","
100.0 %
",5.5,"
A (4.00)
","
N/A
"
"Padilla, Liliana Camille","
TDPW 1 - Introduction to Playwriting (G)
",FA18,15,8,"
87.5 %
","
87.5 %
",3.75,"
B+ (3.50)
","
N/A
"
"Wilson, Terry A.","
TDTR 10 - Introduction to Dance (A)
",FA18,26,13,"
100.0 %
","
100.0 %
",3.12,"
A- (3.73)
","
B+ (3.62)
"
"Smith, Alison D","
TDTR 15 - Dance Movement and Analysis (A)
",FA18,17,12,"
91.7 %
","
100.0 %
",4,"
B+ (3.67)
","
N/A
"
"Stokes, Cynthia Sue","
TDAC 1 - Introduction to Acting (A)
",S218,21,19,"
100.0 %
","
100.0 %
",3.66,"
A- (3.95)
","
A- (3.97)
"
"Harting, Carla Kelso","
TDAC 1 - Introduction to Acting (B)
",S218,18,3,"
100.0 %
","
100.0 %
",3.17,"
A (4.00)
","
N/A
"
"Schwartz, Michael","
TDAC 1 - Introduction to Acting (C)
",S218,15,3,"
100.0 %
","
100.0 %
",2.5,"
A (4.00)
","
N/A
"
"Walsh, Kim C.","
TDAC 1 - Introduction to Acting (D)
",S218,18,5,"
100.0 %
","
100.0 %
",4.9,"
A (4.00)
","
N/A
"
"Guirguis, Mark C","
TDDE 1 - Intro/Design for the Theatre (A)
",S218,14,5,"
100.0 %
","
100.0 %
",2.5,"
A- (3.80)
","
N/A
"
"Reimer, Jonathan Charles","
TDGE 1 - Introduction to Theatre (A)
",S218,156,90,"
97.7 %
","
98.8 %
",3.32,"
B+ (3.66)
","
A- (3.81)
"
"Dallas, Deleon Demetrius","
TDGE 11 - Great Performances on Film (A)
",S218,50,22,"
100.0 %
","
100.0 %
",1.8,"
A (4.00)
","
A- (3.96)
"
"Fulton, Julia","
TDGE 11 - Great Performances on Film (A)
",S218,50,22,"
100.0 %
","
81.3 %
",1.8,"
A (4.00)
","
N/A
"
"Havis, Allan","
TDGE 11 - Great Performances on Film (A)
",S218,48,22,"
100.0 %
","
93.3 %
",1.8,"
A (4.00)
","
N/A
"
"Fulton, Julia","
TDGE 124 - Cult Films: Weirdly Dramatic (A)
",S218,47,16,"
100.0 %
","
100.0 %
",2.77,"
A- (3.79)
","
B+ (3.53)
"
"Havis, Allan","
TDGE 124 - Cult Films: Weirdly Dramatic (A)
",S218,43,16,"
100.0 %
","
92.9 %
",2.77,"
A- (3.79)
","
N/A
"
"Stokes, Cynthia Sue","
TDGE 25 - Public Speaking (A)
",S218,16,9,"
100.0 %
","
100.0 %
",5.25,"
A (4.00)
","
N/A
"
"Harting, Carla Kelso","
TDGE 25 - Public Speaking (B)
",S218,18,8,"
100.0 %
","
100.0 %
",6.25,"
B+ (3.63)
","
N/A
"
"Walsh, Kim C.","
TDGE 25 - Public Speaking (C)
",S218,16,7,"
100.0 %
","
83.3 %
",3.83,"
A (4.00)
","
N/A
"
"Hidalgo, Melissa Martha","
TDHT 110 - Chicano Dramatic Literature (A)
",S218,16,5,"
80.0 %
","
80.0 %
",4.1,"
B+ (3.60)
","
N/A
"
"Weinberg, Sadie","
TDMV 1 - Beginning Ballet (A)
",S218,29,10,"
100.0 %
","
100.0 %
",2.1,"
A- (3.90)
","
A- (3.92)
"
"Arcidiacono, Kristin","
TDMV 1 - Beginning Ballet (B)
",S218,31,10,"
90.0 %
","
90.0 %
",2.5,"
A (4.00)
","
A (4.00)
"
"Sammartano, Tonnie","
TDMV 2 - Beginning Contemporary Dance (A)
",S218,22,6,"
100.0 %
","
100.0 %
",0.83,"
A- (3.80)
","
A- (3.80)
"
"Sammartano, Tonnie","
TDMV 2 - Beginning Contemporary Dance (B)
",S218,25,5,"
100.0 %
","
100.0 %
",0.9,"
A (4.00)
","
A- (3.80)
"
"Arcidiacono, Kristin","
TDMV 3 - Beginning Jazz (A)
",S218,25,13,"
100.0 %
","
100.0 %
",1.5,"
A- (3.80)
","
A- (3.93)
"
"Stokes, Cynthia Sue","
TDAC 1 - Introduction to Acting (A)
",S118,20,19,"
100.0 %
","
100.0 %
",3.34,"
A- (3.94)
","
A (4.00)
"
"Harting, Carla Kelso","
TDAC 1 - Introduction to Acting (C)
",S118,18,6,"
100.0 %
","
100.0 %
",2.5,"
A (4.00)
","
N/A
"
"Salovey, Todd","
TDAC 107 - Improvisation for the Theatre (A)
",S118,17,3,"
100.0 %
","
100.0 %
",2.5,"
A (4.00)
","
N/A
"
"Salovey, Todd","
TDGE 1 - Introduction to Theatre (A)
",S118,48,12,"
100.0 %
","
90.9 %
",3.95,"
A (4.00)
","
B+ (3.64)
"
"Havis, Allan","
TDGE 10 - Theatre and Film (A)
",S118,31,11,"
90.9 %
","
100.0 %
",1.95,"
B+ (3.30)
","
B (3.18)
"
"Havis, Allan","
TDGE 11 - Great Performances on Film (B)
",S118,35,17,"
100.0 %
","
100.0 %
",1.75,"
B+ (3.64)
","
B+ (3.68)
"
"White, Bryan Curtiss","
TDGE 11 - Great Performances on Film (C)
",S118,44,16,"
100.0 %
","
100.0 %
",4.38,"
A- (3.85)
","
B+ (3.51)
"
"Fulton, Julia","
TDGE 124 - Cult Films: Weirdly Dramatic (A)
",S118,64,32,"
100.0 %
","
100.0 %
",2.5,"
A- (3.89)
","
B+ (3.48)
"
"Meyer, Ursula","
TDGE 125 - Topics in Theatre and Film (A)
",S118,17,6,"
100.0 %
","
100.0 %
",4.83,"
A (4.00)
","
N/A
"
"Stokes, Cynthia Sue","
TDGE 25 - Public Speaking (A)
",S118,10,10,"
100.0 %
","
100.0 %
",4.7,"
B+ (3.50)
","
N/A
"
"Hale, Debra","
TDGE 25 - Public Speaking (B)
",S118,18,9,"
100.0 %
","
100.0 %
",2.94,"
A (4.00)
","
N/A
"
"Reimer, Jonathan Charles","
TDGE 5 - A Glimpse into Acting (A)
",S118,23,19,"
100.0 %
","
100.0 %
",3.94,"
A- (3.93)
","
A- (3.92)
"
"Weinberg, Sadie","
TDMV 1 - Beginning Ballet (A)
",S118,27,5,"
100.0 %
","
100.0 %
",1.7,"
A (4.00)
","
A- (3.98)
"
"Arcidiacono, Kristin","
TDMV 1 - Beginning Ballet (B)
",S118,30,10,"
90.0 %
","
90.0 %
",3.1,"
A- (3.90)
","
A (4.00)
"
"Arcidiacono, Kristin","
TDMV 11 - Theatrical Tap (A)
",S118,30,15,"
92.3 %
","
100.0 %
",1.21,"
A (4.00)
","
A- (3.88)
"
"Caligagan, Tony","
TDMV 142 - Latin Dance of the World (A)
",S118,35,10,"
100.0 %
","
100.0 %
",5.61,"
A- (3.89)
","
A- (3.96)
"
"Caligagan, Maria T.","
TDMV 142 - Latin Dance of the World (B)
",S118,39,9,"
100.0 %
","
100.0 %
",5,"
A- (3.88)
","
A- (3.98)
"
"Sammartano, Tonnie","
TDMV 2 - Beginning Contemporary Dance (A)
",S118,37,5,"
100.0 %
","
100.0 %
",1.5,"
A (4.00)
","
A- (3.92)
"
"Rincon, Alicia","
TDMV 3 - Beginning Jazz (A)
",S118,34,11,"
100.0 %
","
100.0 %
",1.77,"
A (4.00)
","
A- (3.91)
"
"Rincon, Alicia","
TDMV 3 - Beginning Jazz (B)
",S118,31,6,"
100.0 %
","
100.0 %
",2,"
A (4.00)
","
A- (3.91)
"
"Harting, Carla Kelso","
TDAC 1 - Introduction to Acting (A)
",SP18,19,11,"
100.0 %
","
100.0 %
",4.5,"
A (4.00)
","
N/A
"
"Harting, Carla Kelso","
TDAC 1 - Introduction to Acting (B)
",SP18,22,12,"
100.0 %
","
90.0 %
",2.9,"
A- (3.90)
","
A- (3.79)
"
"Harting, Carla Kelso","
TDAC 1 - Introduction to Acting (C)
",SP18,21,4,"
100.0 %
","
100.0 %
",5.83,"
A (4.00)
","
A- (3.79)
"
"Harting, Carla Kelso","
TDAC 1 - Introduction to Acting (D)
",SP18,20,17,"
100.0 %
","
100.0 %
",3.32,"
A- (3.85)
","
A- (3.79)
"
"Harting, Carla Kelso","
TDAC 1 - Introduction to Acting (E)
",SP18,20,5,"
100.0 %
","
100.0 %
",5.5,"
A (4.00)
","
A- (3.79)
"
"Harting, Carla Kelso","
TDAC 1 - Introduction to Acting (F)
",SP18,20,9,"
100.0 %
","
100.0 %
",3.39,"
A- (3.89)
","
A- (3.79)
"
"Robichaux, Natalie Griffith","
TDAC 101 - Acting I (A)
",SP18,16,14,"
92.9 %
","
100.0 %
",3.93,"
A (4.00)
","
N/A
"
"Harting, Carla Kelso","
TDAC 101 - Acting I (B)
",SP18,20,12,"
100.0 %
","
100.0 %
",3.67,"
A (4.00)
","
B+ (3.51)
"
"Salovey, Todd","
TDAC 102 - Acting II (A)
",SP18,21,9,"
100.0 %
","
100.0 %
",6.06,"
A- (3.78)
","
A- (3.88)
"
"Walsh, Kim C.","
TDAC 102 - Acting II (B)
",SP18,20,4,"
100.0 %
","
100.0 %
",4,"
A (4.00)
","
A- (3.93)
"
"Vickerman, Linda Joanne","
TDAC 109 - Singing for Actors (A)
",SP18,15,5,"
100.0 %
","
100.0 %
",4.9,"
A (4.00)
","
N/A
"
"Osmanski, Joy K","
TDAC 110 - Acting for the Camera (A)
",SP18,19,6,"
100.0 %
","
100.0 %
",3.17,"
B+ (3.67)
","
N/A
"
"Meyer, Ursula","
TDAC 111 - Freeing The Voice (A)
",SP18,22,7,"
100.0 %
","
100.0 %
",5.36,"
A- (3.86)
","
A- (3.89)
"
"Guirguis, Mark C","
TDDE 101 - Theatre Process-Scenic Design (A)
",SP18,17,6,"
100.0 %
","
100.0 %
",5.17,"
A (4.00)
","
N/A
"
"Benzoni, Elisa","
TDDE 111 - Theatre Process - Costumes (A)
",SP18,19,3,"
100.0 %
","
100.0 %
",8.5,"
B+ (3.67)
","
N/A
"
"Geiger, Eric","
TDDM 101 - Dance Making 2 (A)
",SP18,18,6,"
100.0 %
","
100.0 %
",0.5,"
A (4.00)
","
N/A
"
"Means, Charles E.","
TDDR 101 - Stage Management (A)
",SP18,30,15,"
100.0 %
","
100.0 %
",3.93,"
A- (3.93)
","
A- (3.76)
"
"Stalling, Vanessa","
TDDR 111 - Directing - Acting Process (A)
",SP18,19,17,"
94.1 %
","
100.0 %
",4.74,"
A- (3.82)
","
N/A
"
"Salovey, Todd","
TDGE 100 - Creating the Role of ""Leader"" (A)
",SP18,43,20,"
100.0 %
","
95.0 %
",2.2,"
A- (3.89)
","
A- (3.91)
"
"McCleary, Keith Long","
TDGE 11 - Great Performances on Film (A)
",SP18,184,169,"
92.9 %
","
94.6 %
",3.04,"
B+ (3.63)
","
B+ (3.46)
"
"Reimer, Jonathan Charles","
TDGE 11 - Great Performances on Film (B)
",SP18,175,79,"
98.7 %
","
98.6 %
",1.92,"
A- (3.81)
","
B+ (3.63)
"
"Raphaeli, Karen Adee","
TDGE 11 - Great Performances on Film (C)
",SP18,169,90,"
75.9 %
","
67.8 %
",3.2,"
B+ (3.45)
","
B+ (3.35)
"
"Havis, Allan","
TDGE 124 - Cult Films: Weirdly Dramatic (A)
",SP18,194,74,"
94.4 %
","
97.2 %
",2.08,"
A- (3.79)
","
B+ (3.60)
"
